id,sensor_id,data_leitura,valor
1,1,2025-05-12 13:53:12.826855,41450.74749467715
2,1,2025-05-12 14:36:24.826855,47717.985362836764
3,1,2025-05-12 15:19:36.826855,25914.007656280646
4,1,2025-05-12 16:02:48.826855,8657.23368200832
5,1,2025-05-12 16:46:00.826855,26093.95879419774
6,1,2025-05-12 17:29:12.826855,26104.11998806566
7,1,2025-05-12 18:12:24.826855,29680.694563016918
8,1,2025-05-12 18:55:36.826855,22503.929549570825
9,1,2025-05-12 19:38:48.826855,22985.97711003655
10,1,2025-05-12 20:22:00.826855,73328.52616491944
11,1,2025-05-12 21:05:12.826855,16370.243450804459
12,1,2025-05-12 21:48:24.826855,96868.1200986553
13,1,2025-05-12 22:31:36.826855,40460.73065979432
14,1,2025-05-12 23:14:48.826855,78278.63155230692
15,1,2025-05-12 23:58:00.826855,51491.91497703316
16,1,2025-05-13 00:41:12.826855,85113.0013836069
17,1,2025-05-13 01:24:24.826855,45148.77569751865
18,1,2025-05-13 02:07:36.826855,86361.75492167646
19,1,2025-05-13 02:50:48.826855,17668.86684484659
20,1,2025-05-13 03:34:00.826855,11078.010593897652
21,1,2025-05-13 04:17:12.826855,99325.17504471184
22,1,2025-05-13 05:00:24.826855,71502.49653781884
23,1,2025-05-13 05:43:36.826855,77060.3064849027
24,1,2025-05-13 06:26:48.826855,36522.4307390826
25,1,2025-05-13 07:10:00.826855,54776.15929707361
26,1,2025-05-13 07:53:12.826855,79273.02987131177
27,1,2025-05-13 08:36:24.826855,83536.64870563502
28,1,2025-05-13 09:19:36.826855,47405.48307570712
29,1,2025-05-13 10:02:48.826855,60727.25205927589
30,1,2025-05-13 10:46:00.826855,7670.101057637699
31,1,2025-05-13 11:29:12.826855,98470.28719946402
32,1,2025-05-13 12:12:24.826855,10418.500195279807
33,1,2025-05-13 12:55:36.826855,81852.72400994229
34,1,2025-05-13 13:38:48.826855,68559.06543128076
35,1,2025-05-13 14:22:00.826855,54438.568275081256
36,1,2025-05-13 15:05:12.826855,9063.626439352296
