DATA	LUX	TEMPERATURA	VIBRACAO	CONDICAO
2025-05-12 13:53:12.826855	41450.74749467715	-18.27793044756668	1.384514710532926	2
2025-05-12 14:36:24.826855	47717.98536283677	28.69512331714748	1.9643569343686689	2
2025-05-12 15:19:36.826855	25914.007656280646	14.894655647802004	2.995341081116695	2
2025-05-12 16:02:48.826855	8657.23368200832	22.589942408381724	0.6122405893696649	1
2025-05-12 16:46:00.826855	26093.95879419774	25.89900937790314	0.4157288200994827	2
2025-05-12 17:29:12.826855	26104.11998806566	71.91724397723962	1.960220335685401	3
2025-05-12 18:12:24.826855	29680.69456301692	16.848588053341658	1.909344648101267	1
2025-05-12 18:55:36.826855	22503.929549570825	-32.426585893837924	2.877143375081193	3
2025-05-12 19:38:48.826855	22985.97711003655	35.217392513132026	0.5235898270158775	1
2025-05-12 20:22:00.826855	73328.52616491944	32.28395576742416	2.248372564918912	3
2025-05-12 21:05:12.826855	16370.24345080446	56.27436130324708	1.4714021318853527	3
2025-05-12 21:48:24.826855	96868.1200986553	71.92478670923713	2.846438172813887	2
2025-05-12 22:31:36.826855	40460.73065979432	7.057478918622287	2.286144300416092	2
2025-05-12 23:14:48.826855	78278.63155230692	-13.097110721594092	1.6452038290430844	3
2025-05-12 23:58:00.826855	51491.91497703316	49.19243313236791	2.20998900090815	1
2025-05-13 00:41:12.826855	85113.0013836069	27.59288942924502	2.789815008476945	3
2025-05-13 01:24:24.826855	45148.77569751865	37.04931866275213	0.9649647742178294	1
2025-05-13 02:07:36.826855	86361.75492167646	3.504051101820778	2.5762232344273803	3
2025-05-13 02:50:48.826855	17668.86684484659	34.0856134306874	1.2120854456136805	3
2025-05-13 03:34:00.826855	11078.010593897652	14.364579111297536	1.8452731605357944	3
2025-05-13 04:17:12.826855	99325.17504471184	-0.739152513603905	0.5913426265926262	2
2025-05-13 05:00:24.826855	71502.49653781884	-36.322762020228765	1.1330507266565286	1
2025-05-13 05:43:36.826855	77060.3064849027	44.41476924621456	2.6366257358240035	1
2025-05-13 06:26:48.826855	36522.4307390826	82.97542628071805	2.868148216216557	3
2025-05-13 07:10:00.826855	54776.15929707361	27.89331711357929	0.1476202870742612	3
2025-05-13 07:53:12.826855	79273.02987131177	-11.942526656763285	2.300642061563644	3
2025-05-13 08:36:24.826855	83536.64870563502	-38.84900698348479	2.8775664151394342	3
2025-05-13 09:19:36.826855	47405.48307570712	-35.41721097655944	1.8369836710923164	3
2025-05-13 10:02:48.826855	60727.25205927589	65.92192366659208	1.933261157425305	3
2025-05-13 10:46:00.826855	7670.101057637699	-5.979974356337827	2.806247029855604	3
2025-05-13 11:29:12.826855	98470.28719946402	22.83622851635674	2.794780371813328	1
2025-05-13 12:12:24.826855	10418.500195279808	-13.7146027862508	0.1595581160419805	3
2025-05-13 12:55:36.826855	81852.72400994229	-6.165549649587163	2.336185583873622	3
