13.8629	14.557	0.9086	5.7169	3.3216	2.4099	5.3989	2
17.6874	16.3232	0.8893	5.303	3.3958	4.5363	5.9188	1
17.3295	15.5797	0.8422	5.8648	3.7185	2.7754	5.5009	2
13.7844	13.6493	0.913	6.2372	2.4147	5.2491	4.9015	2
14.2065	13.9087	0.8548	5.4193	3.0162	4.0293	5.8992	1
14.4844	15.2624	0.8688	5.41	3.6235	2.458	5.7538	2
18.7556	14.7728	0.9163	5.2937	3.2372	4.088	5.198	3
20.5623	12.3465	0.8812	5.3245	3.8211	4.531	5.8546	1
19.4123	14.9582	0.8561	5.4451	3.5764	3.9568	5.5389	1
16.2088	14.0626	0.8438	5.4063	3.442	4.7501	5.2202	2
10.5145	13.6187	0.8401	5.6352	3.8582	6.1003	5.2586	3
16.1638	12.0903	0.8701	6.1095	3.5553	4.0391	5.5188	3
15.4131	14.6155	0.8337	5.8122	3.4847	2.3211	4.6492	3
12.87	16.1264	0.8771	5.6764	3.5933	2.7633	5.6917	3
12.1597	14.244	0.8325	5.0984	2.9567	2.0698	6.0244	1
16.6132	14.0656	0.8511	6.0103	3.2209	5.8875	4.68	2
15.6396	15.9428	0.8749	5.3082	3.5797	5.3729	5.0634	1
16.3428	13.6158	0.8289	5.9143	3.0624	3.2663	5.4875	3
15.4908	15.4348	0.8807	5.226	2.8378	3.904	6.0369	3
8.684	14.6762	0.9074	6.261	3.7274	3.113	5.4256	2
7.9813	16.3987	0.8522	5.3345	2.8009	2.0647	5.3722	1
19.2806	13.586	0.8975	5.7329	2.939	2.3638	4.9657	3
13.9132	14.7336	0.8736	5.7205	3.4313	3.1532	5.4837	3
12.6098	14.5423	0.8924	5.7502	2.9707	3.8084	6.321	2
13.8847	15.8542	0.8938	6.4005	3.3702	5.3563	6.0257	1
14.356	13.8477	0.8568	5.2998	2.9983	3.9286	5.3886	2
16.5566	16.6577	0.9133	5.9691	3.6785	1.8549	5.8338	2
14.1868	13.5558	0.8752	5.65	3.1728	2.2016	4.8191	1
18.1739	15.89	0.8818	4.9989	2.8197	1.3568	5.1964	3
11.5976	14.8216	0.9193	4.7104	3.1803	3.3223	5.4147	2
12.3256	16.6009	0.8881	5.0996	3.4925	2.4922	5.113	1
14.7073	14.8053	0.844	5.7003	3.8377	6.1004	4.4917	3
13.1767	15.6571	0.8723	6.4999	4.1888	7.1666	5.3196	1
7.7773	14.3522	0.8568	6.4473	3.1947	2.8919	5.2194	2
17.4771	12.8827	0.8584	5.3609	3.2043	1.8116	5.6762	2
20.1083	16.733	0.8274	5.5191	3.1945	3.7761	5.1368	2
13.3987	15.8082	0.8587	6.6142	3.1028	1.3776	5.6125	1
16.3962	14.5652	0.8984	5.8428	2.9522	2.9004	5.6927	1
11.9241	14.3243	0.8665	4.9421	3.9075	1.2372	4.6137	1
15.3117	14.643	0.8432	5.6087	3.258	1.6474	5.6523	1
12.5488	14.8605	0.9175	5.2848	3.18	4.9805	5.3793	1
18.1786	13.282	0.8999	5.6819	3.7168	2.7111	5.6962	3
14.0085	15.4727	0.8394	5.1438	3.5216	4.2503	5.5807	3
20.2027	16.1398	0.8746	5.4249	3.1941	2.8344	5.3131	2
13.4764	16.3331	0.9064	5.3183	3.8279	2.7879	5.1889	3
13.9778	15.4066	0.8844	5.5714	3.7527	1.5343	5.9909	1
12.5559	14.3555	0.857	5.4281	3.659	3.6808	6.092	3
18.0418	15.0033	0.8523	5.5734	3.8073	2.2839	4.8591	1
19.4458	13.6541	0.8732	5.1938	2.9335	2.6155	4.4172	1
21.0517	14.3443	0.8828	6.1214	3.2971	1.7263	4.6232	3
